Name,Price,Max HP,Toughness,Reactivity,ArmorRegen,Info
Standard Armor,0,100,10,2,1,BasicArmorDesc
Standard Armor II,500,125,12,4,2,BasicArmorDesc
Standard Armor III,1250,150,14,6,3,BasicArmorDesc
Standard Armor IV,3000,175,16,8,4,BasicArmorDesc
Standard Armor V,9000,200,18,10,5,BasicArmorDesc
Reactive Armor,200,110,3,15,1,ReactiveArmorDesc
Reactive Armor II,750,130,4,20,2,ReactiveArmorDesc
Reactive Armor III,1750,150,5,25,3,ReactiveArmorDesc
Reactive Armor IV,4500,170,6,30,4,ReactiveArmorDesc
Reactive Armor V,12500,190,7,35,5,ReactiveArmorDesc
Regenerative Armor,500,50,12,3,5,RegenerativeArmorDesc
Regenerative Armor II,1500,65,13,5,10,RegenerativeArmorDesc
Regenerative Armor III,4000,80,14,7,15,RegenerativeArmorDesc
Regenerative Armor IV,7500,100,15,9,20,RegenerativeArmorDesc
Regenerative Armor V,15000,125,16,11,25,RegenerativeArmorDesc
Reflective Ionized Titanium Armor,25000,350,15,25,6,TitaniumArmorDesc
Graphene Complex,35000,400,33,5,7,GrapheneArmorDesc
Xq 305.7,50000,500,25,20,15,
